B1,B2,B3,B4,B5,B6,B7,B8
0.071,0.07200000000000001,0.071,0.064,0.073,0.066,0.065,0.073
166.873,163.93,166.96200000000002,172.22400000000002,161.275,189.72299999999998,193.768,161.275
1129.769,1190.579,1115.4160000000002,2002.525,1053.687,1464.995,2249.064,1053.687
0.07400000000000001,0.07400000000000001,0.07400000000000001,0.078,0.07400000000000001,0.07400000000000001,0.078,0.07400000000000001
0.083,0.083,0.083,0.086,0.083,0.086,0.08800000000000001,0.08199999999999999
3.1180000000000003,3.0269999999999997,3.096,3.595,3.1,3.5580000000000003,3.95,3.1
2.6010000000000004,2.612,2.605,2.755,2.612,4.178,4.202,2.597
344.746,346.44300000000004,346.19800000000004,339.212,339.63699999999994,624.472,641.487,338.785
67.455,66.887,67.003,65.48,65.913,62.81,58.937,64.441
1.676,1.6680000000000001,1.676,1.714,1.6680000000000001,1.672,1.703,1.6680000000000001
52.006,48.409,50.513000000000005,59.715,48.291000000000004,72.918,100.458,48.291000000000004
1.038,1.056,1.0390000000000001,1.057,1.052,1.804,1.8090000000000002,1.0490000000000002
4943.969,5038.248,4934.656,5350.054,5038.248,5432.387,5552.3640000000005,5038.248
3.3169999999999997,3.105,3.2889999999999997,3.238,3.233,3.282,3.202,3.281
28.138,29.954,27.764,31.89,30.521,53.08,56.013000000000005,30.631
160.564,156.852,161.474,163.626,151.702,178.82299999999998,173.173,151.702
12.28,12.495,12.280999999999999,12.409,12.433,12.276,12.401,12.417
0.196,0.196,0.19399999999999998,0.196,0.195,0.192,0.193,0.195
0.941,0.847,0.9490000000000001,1.053,0.905,0.9990000000000001,1.09,0.905
0.728,0.698,0.7290000000000001,0.787,0.708,0.809,0.862,0.715
0.075,0.044000000000000004,0.073,0.107,0.039,1.087,1.117,0.039
2.14,2.214,2.147,2.119,2.005,2.7110000000000003,2.44,1.986
6.6370000000000005,4.726,6.599,7.537999999999999,5.178,10.144,10.935,5.112
0.645,0.634,0.647,0.665,0.636,0.665,0.682,0.627
